"comparisons","doi"
"http://orkg.org/orkg/resource/R140347","10.48366/r140347"
"http://orkg.org/orkg/resource/R140449","10.48366/r140449"
"http://orkg.org/orkg/resource/R140463","10.48366/r140463"
"http://orkg.org/orkg/resource/R140465","10.48366/r140465"
"http://orkg.org/orkg/resource/R140714","10.48366/r140714"
"http://orkg.org/orkg/resource/R140726","10.48366/r140726"
"http://orkg.org/orkg/resource/R141123","10.48366/r141123"
"http://orkg.org/orkg/resource/R141317","10.48366/r141317"
"http://orkg.org/orkg/resource/R141336","10.48366/r141336"
"http://orkg.org/orkg/resource/R141349","10.48366/r141349"
"http://orkg.org/orkg/resource/R141369","10.48366/r141369"
"http://orkg.org/orkg/resource/R141385","10.48366/r141385"
"http://orkg.org/orkg/resource/R141810","10.48366/r141810"
"http://orkg.org/orkg/resource/R141811","10.48366/r141811"
"http://orkg.org/orkg/resource/R142850","10.48366/r142850"
"http://orkg.org/orkg/resource/R143746","10.48366/r143746"
"http://orkg.org/orkg/resource/R143853","10.48366/r143853"
"http://orkg.org/orkg/resource/R143856","10.48366/r143856"
"http://orkg.org/orkg/resource/R144148","10.48366/r144148"
"http://orkg.org/orkg/resource/R144251","10.48366/r144251"
"http://orkg.org/orkg/resource/R144512","10.48366/r144512"
"http://orkg.org/orkg/resource/R145951","10.48366/r145951"
"http://orkg.org/orkg/resource/R146851","10.48366/r146851"
"http://orkg.org/orkg/resource/R147040","10.48366/r147040"
"http://orkg.org/orkg/resource/R147152","10.48366/r147152"
"http://orkg.org/orkg/resource/R147167","10.48366/r147167"
"http://orkg.org/orkg/resource/R147183","10.48366/r147183"
"http://orkg.org/orkg/resource/R147196","10.48366/r147196"
"http://orkg.org/orkg/resource/R147317","10.48366/r147317"
"http://orkg.org/orkg/resource/R147365","10.48366/r147365"
"http://orkg.org/orkg/resource/R147449","10.48366/r147449"
"http://orkg.org/orkg/resource/R147507","10.48366/r147507"
"http://orkg.org/orkg/resource/R148381","10.48366/r148381"
"http://orkg.org/orkg/resource/R148382","10.48366/r148382"
"http://orkg.org/orkg/resource/R149849","10.48366/r149849"
"http://orkg.org/orkg/resource/R150337","10.48366/r150337"
"http://orkg.org/orkg/resource/R151005","10.48366/r151005"
"http://orkg.org/orkg/resource/R152727","10.48366/r152727"
"http://orkg.org/orkg/resource/R153801","10.48366/r153801"
"http://orkg.org/orkg/resource/R155154","10.48366/r155154"
"http://orkg.org/orkg/resource/R155191","10.48366/r155191"
"http://orkg.org/orkg/resource/R155248","10.48366/r155248"
"http://orkg.org/orkg/resource/R155445","10.48366/r155445"
"http://orkg.org/orkg/resource/R155526","10.48366/r155526"
"http://orkg.org/orkg/resource/R155543","10.48366/r155543"
"http://orkg.org/orkg/resource/R155561","10.48366/r155561"
"http://orkg.org/orkg/resource/R155584","10.48366/r155584"
"http://orkg.org/orkg/resource/R155800","10.48366/r155800"
"http://orkg.org/orkg/resource/R157074","10.48366/r157074"
"http://orkg.org/orkg/resource/R157076","10.48366/r157076"
"http://orkg.org/orkg/resource/R160149","10.48366/r160149"
"http://orkg.org/orkg/resource/R160168","10.48366/r160168"
"http://orkg.org/orkg/resource/R160174","10.48366/r160174"
"http://orkg.org/orkg/resource/R160189","10.48366/r160189"
"http://orkg.org/orkg/resource/R160205","10.48366/r160205"
"http://orkg.org/orkg/resource/R160527","10.48366/r160527"
"http://orkg.org/orkg/resource/R160596","10.48366/r160596"
"http://orkg.org/orkg/resource/R160597","10.48366/r160597"
"http://orkg.org/orkg/resource/R160742","10.48366/r160742"
"http://orkg.org/orkg/resource/R160768","10.48366/r160768"
"http://orkg.org/orkg/resource/R161079","10.48366/r161079"
"http://orkg.org/orkg/resource/R161787","10.48366/r161787"
"http://orkg.org/orkg/resource/R164670","10.48366/r164670"
"http://orkg.org/orkg/resource/R165700","10.48366/r165700"
"http://orkg.org/orkg/resource/R165702","10.48366/r165702"
"http://orkg.org/orkg/resource/R165794","10.48366/r165794"
"http://orkg.org/orkg/resource/R165866","10.48366/r165866"
"http://orkg.org/orkg/resource/R166315","10.48366/r166315"
"http://orkg.org/orkg/resource/R172690","10.48366/r172690"
"http://orkg.org/orkg/resource/R178164","10.48366/r178164"
"http://orkg.org/orkg/resource/R68121","10.48366/r68121"
"http://orkg.org/orkg/resource/R68535","10.48366/r68535"
"http://orkg.org/orkg/resource/R69680","10.48366/r69680"
"http://orkg.org/orkg/resource/R73210","10.48366/r73210"
"http://orkg.org/orkg/resource/R74529","10.48366/r74529"
"http://orkg.org/orkg/resource/R74541","10.48366/r74541"
"http://orkg.org/orkg/resource/R74774","10.48366/r74774"
"http://orkg.org/orkg/resource/R75093","10.48366/r75093"
"http://orkg.org/orkg/resource/R75140","10.48366/r75140"
"http://orkg.org/orkg/resource/R75439","10.48366/r75439"
"http://orkg.org/orkg/resource/R75673","10.48366/r75673"
"http://orkg.org/orkg/resource/R75729","10.48366/r75729"
"http://orkg.org/orkg/resource/R76052","10.48366/r76052"
"http://orkg.org/orkg/resource/R76054","10.48366/r76054"
